GEOID,Popln_2017,Popln_2018,Popln_2019,Popln_2020,Popln_2021,Popln_2022,Popln_2023,Popln_2024
48261,427.0,437.0,404.0,391.0,169.0,116.0,52.0,330.0
48263,760.0,726.0,647.0,704.0,632.0,635.0,727.0,703.0
48265,51892.0,52415.0,52600.0,52869.0,52411.0,52810.0,53166.0,53900.0
48267,4406.0,4362.0,4337.0,4396.0,4295.0,4316.0,4355.0,4401.0
48269,296.0,277.0,237.0,279.0,229.0,216.0,189.0,215.0
48271,3775.0,3767.0,3667.0,3670.0,3199.0,3157.0,3140.0,3191.0
48273,30752.0,30722.0,30680.0,30338.0,31015.0,30860.0,30629.0,30442.0
48275,3683.0,3653.0,3664.0,3683.0,3384.0,3333.0,3322.0,3255.0
48277,49568.0,49729.0,49859.0,49905.0,49932.0,50149.0,50421.0,51249.0
48279,13198.0,13158.0,12893.0,12710.0,13147.0,13024.0,12919.0,12687.0
48281,21027.0,21134.0,21428.0,21789.0,21443.0,21829.0,22267.0,23539.0
48283,7567.0,7531.0,7520.0,7500.0,6956.0,6965.0,6946.0,6679.0
48285,20019.0,20110.0,20154.0,20216.0,20287.0,20379.0,20479.0,20605.0
48287,17139.0,17144.0,17239.0,17397.0,17393.0,17543.0,17758.0,18451.0
48289,17249.0,17270.0,17404.0,17493.0,15877.0,15928.0,16067.0,16698.0
48291,83658.0,86323.0,88219.0,91547.0,89948.0,93523.0,97993.0,115042.0
48293,23517.0,23519.0,23437.0,23340.0,22252.0,22222.0,22185.0,22569.0
48295,3376.0,3355.0,3398.0,3301.0,3138.0,3038.0,2964.0,2880.0
48297,12174.0,12166.0,12207.0,12324.0,11378.0,11374.0,11444.0,11967.0
48299,21205.0,21646.0,21795.0,21958.0,21246.0,21637.0,22011.0,23163.0
48301,133.0,148.0,169.0,117.0,83.0,96.0,54.0,48.0
48303,305225.0,307412.0,310569.0,314772.0,308580.0,311509.0,314633.0,327394.0
48305,5832.0,5848.0,5951.0,6025.0,5587.0,5619.0,5667.0,5952.0
48307,7960.0,7987.0,7984.0,7823.0,7676.0,7638.0,7565.0,7448.0
48309,251259.0,254607.0,256623.0,259730.0,258031.0,261090.0,263608.0,270358.0
48311,785.0,749.0,774.0,724.0,729.0,670.0,623.0,565.0
