,County_1,FIPS,Population,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,Ag_MEAN_2017,Fs_MEAN_2017,Rn_MEAN_2017,Cases_normalized_2017
83,Sangamon,17167,194672,84.18182578,1.656788729,29.37038857,16.32929616,3.892987206,19.75,28.13,1.43896147,0.81,0.8,0.79,0.0
84,Schuyler,17169,6768,86.49736909,2.241679983,28.86214939,15.9174001,4.009405836,18.93,27.36,1.720806137,0.81,0.81,0.76,0.0
85,Scott,17171,4951,86.00177139,1.564243375,29.38237079,16.20924349,3.880629114,18.88,27.14,1.518550343,0.78,0.78,0.74,0.0
86,Shelby,17173,21634,86.95597049,1.943523593,29.37377589,16.1332821,3.822633966,19.79,26.52,1.317698618,0.77,0.78,0.78,0.0
87,Stark,17175,5342,88.23071178,2.548422742,27.71964556,14.71638005,3.855812106,0.0,0.0,1.651665664,0.85,0.83,0.79,0.0
88,Stephenson,17177,44498,94.62153865,4.074588717,26.35619748,13.81169394,3.907062265,14.73,26.78,1.360908378,0.82,0.8,0.77,0.0
89,Tazewell,17179,131803,85.35883456,2.391461906,28.74621286,15.65196743,3.949357863,20.38,28.19,1.532691939,0.83,0.79,0.77,0.0
90,Union,17181,16653,91.63726847,2.198804238,29.81902897,17.73447078,2.877764068,20.43,27.75,1.828382073,0.79,0.82,0.71,0.0
91,Vermilion,17183,75758,90.30036763,2.524362441,28.18155849,15.41712185,3.682211592,18.64,27.57,1.400512627,0.81,0.8,0.82,0.0
92,Wabash,17185,11520,90.7789218,2.341870523,29.71443359,16.8485196,3.253086308,18.77,28.64,1.338341105,0.75,0.78,0.69,0.0
93,Warren,17187,16844,87.37401581,2.342902475,28.08289892,15.09153431,4.003167784,0.0,0.0,1.679182825,0.85,0.83,0.72,0.0
94,Washington,17189,13887,87.42123098,1.968812062,29.75914497,17.230283,3.390652443,0.0,0.0,1.394413977,0.74,0.78,0.77,0.0
95,Wayne,17191,16215,88.294222,1.978849693,30.13116953,16.90927657,3.59709975,0.0,0.0,1.554837007,0.76,0.78,0.79,0.0
96,White,17193,13537,91.84686762,2.484011248,29.6136494,17.12821452,3.262666387,19.08,28.57,1.617663149,0.8,0.8,0.71,0.0
97,Whiteside,17195,55175,90.37150007,3.071367227,27.47881216,14.89120216,3.578727355,17.45,27.45,1.324899709,0.82,0.81,0.74,0.0
98,Will,17197,690743,91.88613126,2.779096262,27.5841715,14.8514293,3.660678083,19.01,27.88,1.026979963,0.78,0.73,0.75,0.1448269969108401
99,Williamson,17199,66597,90.82795405,2.335024554,29.80294952,17.61184546,2.927229161,21.78,27.19,1.548733977,0.79,0.8,0.77,0.0
100,Winnebago,17201,282572,93.71725648,3.636186251,26.61738126,14.11800621,3.928297117,16.25,27.44,1.156344637,0.81,0.79,,1.0538111078716177
101,Woodford,17203,38459,87.44277122,2.051112885,28.57189106,15.10877868,3.929354221,20.06,26.3,1.45549051,0.81,0.8,,0.0
